date,brand,platform,total_records,total_engagement,total_comments,total_shares,total_views,positive_count,neutral_count,negative_count,risk_count,net_sentiment_score
2023-11-14,highlands,,49,48.0,48.0,0.0,0.0,15,31,3,5,0.24489795918367346
2023-11-15,highlands,,31,31.0,31.0,0.0,0.0,8,19,4,3,0.12903225806451613
2023-11-16,highlands,,47,47.0,47.0,0.0,0.0,11,32,4,5,0.14893617021276595
2023-11-17,highlands,,42,42.0,42.0,0.0,0.0,8,31,3,3,0.11904761904761904
2023-11-18,highlands,,31,31.0,31.0,0.0,0.0,8,21,2,1,0.1935483870967742
2023-11-19,highlands,,16,16.0,16.0,0.0,0.0,8,7,1,2,0.4375
2023-11-20,highlands,,14,14.0,14.0,0.0,0.0,4,10,0,1,0.2857142857142857
2023-11-21,highlands,,8,8.0,8.0,0.0,0.0,1,7,0,1,0.125
2023-11-22,highlands,,11,11.0,11.0,0.0,0.0,0,9,2,1,-0.18181818181818182
2023-11-23,highlands,,9,9.0,9.0,0.0,0.0,2,6,1,0,0.1111111111111111
2023-11-24,highlands,,6,6.0,6.0,0.0,0.0,1,4,1,1,0.0
2023-11-25,highlands,,3,3.0,3.0,0.0,0.0,2,1,0,0,0.6666666666666666
2023-11-26,highlands,,10,10.0,10.0,0.0,0.0,3,7,0,0,0.3
2023-11-27,highlands,,4,4.0,4.0,0.0,0.0,1,3,0,0,0.25
2023-11-28,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2023-11-28,phuc_long,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2023-11-29,highlands,,6,6.0,6.0,0.0,0.0,1,5,0,1,0.16666666666666666
2023-11-30,highlands,,6,6.0,6.0,0.0,0.0,0,6,0,0,0.0
2023-12-01,highlands,,3,3.0,3.0,0.0,0.0,0,3,0,0,0.0
2023-12-02,highlands,,2,2.0,2.0,0.0,0.0,1,1,0,0,0.5
2023-12-05,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2023-12-07,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2023-12-07,phuc_long,,2,1.0,1.0,0.0,0.0,0,2,0,0,0.0
2023-12-08,highlands,,1,1.0,1.0,0.0,0.0,1,0,0,0,1.0
2023-12-08,phuc_long,,1,1.0,1.0,0.0,0.0,1,0,0,0,1.0
2023-12-10,highlands,,1,1.0,1.0,0.0,0.0,1,0,0,0,1.0
2023-12-10,phuc_long,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2023-12-11,phuc_long,,1,1.0,1.0,0.0,0.0,1,0,0,0,1.0
2023-12-12,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2023-12-12,phuc_long,,1,0.0,0.0,0.0,0.0,0,1,0,0,0.0
2023-12-16,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,1,0.0
2023-12-17,highlands,,1,1.0,1.0,0.0,0.0,1,0,0,0,1.0
2023-12-18,highlands,,1,1.0,1.0,0.0,0.0,1,0,0,1,1.0
2023-12-20,highlands,,1,0.0,0.0,0.0,0.0,0,1,0,0,0.0
2023-12-21,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2023-12-22,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,1,0.0
2023-12-23,highlands,,3,3.0,3.0,0.0,0.0,2,1,0,2,0.6666666666666666
2023-12-24,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2023-12-25,highlands,,2,2.0,2.0,0.0,0.0,2,0,0,0,1.0
2023-12-26,highlands,,2,2.0,2.0,0.0,0.0,0,2,0,0,0.0
2023-12-27,highlands,,3,3.0,3.0,0.0,0.0,1,1,1,0,0.0
2023-12-28,highlands,,8,8.0,8.0,0.0,0.0,1,7,0,0,0.125
2024-01-03,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2024-01-03,phuc_long,,3,3.0,3.0,0.0,0.0,0,3,0,0,0.0
2024-01-04,highlands,,1,0.0,0.0,0.0,0.0,0,1,0,0,0.0
2024-01-06,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,1,0.0
2024-01-07,highlands,,3,2.0,2.0,0.0,0.0,1,2,0,0,0.3333333333333333
2024-01-08,highlands,,3,3.0,3.0,0.0,0.0,0,3,0,0,0.0
2024-01-09,highlands,,2,2.0,2.0,0.0,0.0,0,2,0,0,0.0
2024-01-10,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2024-01-11,highlands,,1,1.0,1.0,0.0,0.0,1,0,0,1,1.0
2024-01-11,phuc_long,,2,0.0,0.0,0.0,0.0,2,0,0,2,1.0
2024-01-13,phuc_long,,1,0.0,0.0,0.0,0.0,1,0,0,1,1.0
2024-01-14,highlands,,3,2.0,2.0,0.0,0.0,0,3,0,0,0.0
2024-01-14,phuc_long,,1,0.0,0.0,0.0,0.0,0,1,0,1,0.0
2024-01-15,highlands,,6,5.0,5.0,0.0,0.0,2,4,0,2,0.3333333333333333
2024-01-15,phuc_long,,1,0.0,0.0,0.0,0.0,0,1,0,0,0.0
2024-01-16,phuc_long,,1,0.0,0.0,0.0,0.0,1,0,0,1,1.0
2024-01-17,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2024-01-17,phuc_long,,1,0.0,0.0,0.0,0.0,1,0,0,1,1.0
2024-01-18,highlands,,3,3.0,3.0,0.0,0.0,0,3,0,1,0.0
2024-01-18,phuc_long,,1,0.0,0.0,0.0,0.0,0,1,0,1,0.0
2024-01-19,highlands,,2,1.0,1.0,0.0,0.0,0,2,0,1,0.0
2024-01-19,phuc_long,,1,0.0,0.0,0.0,0.0,1,0,0,1,1.0
2024-01-20,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2024-01-20,phuc_long,,1,0.0,0.0,0.0,0.0,1,0,0,1,1.0
2024-01-21,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2024-01-22,highlands,,2,2.0,2.0,0.0,0.0,0,2,0,1,0.0
2024-01-22,phuc_long,,2,0.0,0.0,0.0,0.0,2,0,0,2,1.0
2024-01-23,phuc_long,,1,0.0,0.0,0.0,0.0,0,1,0,1,0.0
2024-01-24,highlands,,2,2.0,2.0,0.0,0.0,1,1,0,0,0.5
2024-01-25,highlands,,1,0.0,0.0,0.0,0.0,0,1,0,0,0.0
2024-01-25,phuc_long,,1,0.0,0.0,0.0,0.0,0,1,0,1,0.0
2024-01-26,phuc_long,,1,0.0,0.0,0.0,0.0,1,0,0,1,1.0
2024-01-28,highlands,,2,2.0,2.0,0.0,0.0,0,2,0,0,0.0
2024-01-28,phuc_long,,1,0.0,0.0,0.0,0.0,1,0,0,1,1.0
2024-01-29,highlands,,3,3.0,3.0,0.0,0.0,0,3,0,1,0.0
2024-01-30,highlands,,5,5.0,5.0,0.0,0.0,0,5,0,1,0.0
2024-01-30,phuc_long,,1,0.0,0.0,0.0,0.0,1,0,0,0,1.0
2024-01-31,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
